Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.000,0.996,0.000,1.000
O,0.1,--,0.996,0.000,1.000
O,0.15,--,0.996,0.000,1.000
O,0.2,--,0.996,0.000,1.000
O+Q,0.05,0.231,0.998,0.539,0.993
O+Q,0.1,0.165,0.997,0.154,0.997
O+Q,0.15,0.248,0.996,0.077,0.999
O+Q,0.2,1.000,0.996,0.077,1.000
S,0.05,0.000,0.996,0.000,0.999
S,0.1,--,0.996,0.000,1.000
S,0.15,--,0.996,0.000,1.000
S,0.2,--,0.996,0.000,1.000
O+S,0.05,0.000,0.996,0.000,0.998
O+S,0.1,--,0.996,0.000,1.000
O+S,0.15,--,0.996,0.000,1.000
O+S,0.2,--,0.996,0.000,1.000
O+Q+S,0.05,0.273,0.999,0.615,0.994
O+Q+S,0.1,0.165,0.997,0.154,0.997
O+Q+S,0.15,0.248,0.996,0.077,0.999
O+Q+S,0.2,0.497,0.996,0.077,1.000
