Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.691,2.175,1.383,0.001,0.000,0.999,0.000,0.999,--,0.999,--,0.999,ref
O+S,0.652,-1.043,0.868,0.001,0.000,0.999,0.000,0.999,--,0.999,--,0.999,-0.190
O+D,0.608,-0.798,0.907,0.001,0.004,0.999,0.033,0.999,0.000,0.999,--,0.999,-0.248
O+S+D,0.602,-2.075,0.705,0.001,0.003,0.999,0.000,0.999,0.000,0.999,--,0.999,-0.428
