threshold,strategy,net_benefit,model
0.07,Treat all,-0.07386601117699094,O+D
0.075,Treat all,-0.07967069231848817,O+D
0.08,Treat all,-0.08553846782021908,O+D
0.085,Treat all,-0.09147037201595799,O+D
0.09,Treat all,-0.09746746197208962,O+D
0.095,Treat all,-0.10353081811558183,O+D
0.1,Treat all,-0.10966154488289064,O+D
0.005,Treat none,0.0,O+D
0.01,Treat none,0.0,O+D
0.015,Treat none,0.0,O+D
0.02,Treat none,0.0,O+D
0.025,Treat none,0.0,O+D
0.03,Treat none,0.0,O+D
0.035,Treat none,0.0,O+D
0.04,Treat none,0.0,O+D
0.045,Treat none,0.0,O+D
0.05,Treat none,0.0,O+D
0.055,Treat none,0.0,O+D
0.06,Treat none,0.0,O+D
0.065,Treat none,0.0,O+D
0.07,Treat none,0.0,O+D
0.075,Treat none,0.0,O+D
0.08,Treat none,0.0,O+D
0.085,Treat none,0.0,O+D
0.09,Treat none,0.0,O+D
0.095,Treat none,0.0,O+D
0.1,Treat none,0.0,O+D
0.005,O+S+D,-2.6872314762461622e-05,O+S+D
0.01,O+S+D,-1.452531638042922e-05,O+S+D
0.015,O+S+D,-2.7373216782915476e-06,O+S+D
0.02,O+S+D,-1.2227944912096032e-06,O+S+D
0.025,O+S+D,0.0,O+S+D
0.03,O+S+D,0.0,O+S+D
0.035,O+S+D,0.0,O+S+D
0.04,O+S+D,0.0,O+S+D
0.045,O+S+D,0.0,O+S+D
0.05,O+S+D,0.0,O+S+D
0.055,O+S+D,0.0,O+S+D
0.06,O+S+D,0.0,O+S+D
0.065,O+S+D,0.0,O+S+D
0.07,O+S+D,0.0,O+S+D
0.075,O+S+D,0.0,O+S+D
0.08,O+S+D,0.0,O+S+D
0.085,O+S+D,0.0,O+S+D
0.09,O+S+D,0.0,O+S+D
0.095,O+S+D,0.0,O+S+D
0.1,O+S+D,0.0,O+S+D
0.005,Treat all,-0.003713960195579458,O+S+D
0.01,Treat all,-0.008783222620809657,O+S+D
0.015,Treat all,-0.0139039496391894,O+S+D
0.02,Treat all,-0.019076928974083227,O+S+D
0.025,Treat all,-0.024302964507283656,O+S+D
