Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.489,-4.322,0.089,0.008,0.008,0.989,0.011,0.992,--,0.992,--,0.992,ref
O+Q,0.648,1.694,1.321,0.008,0.010,1.000,0.013,0.992,0.000,0.991,--,0.992,0.549
S,0.684,0.776,1.137,0.008,0.011,0.995,0.022,0.995,0.021,0.992,--,0.992,0.550
O+S,0.691,1.242,1.236,0.008,0.011,0.996,0.025,0.995,0.025,0.992,--,0.992,0.529
O+Q+S,0.731,1.690,1.337,0.008,0.013,0.998,0.023,0.995,0.031,0.992,--,0.992,0.650
