Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.008,0.989,0.804,0.145
O,0.01,0.011,0.992,0.195,0.856
O,0.02,--,0.992,0.000,1.000
O,0.05,--,0.992,0.000,1.000
O+Q,0.005,0.010,1.000,1.000,0.157
O+Q,0.01,0.013,0.992,0.229,0.854
O+Q,0.02,0.000,0.991,0.000,0.995
O+Q,0.05,--,0.992,0.000,1.000
S,0.005,0.011,0.995,0.763,0.405
S,0.01,0.022,0.995,0.521,0.806
S,0.02,0.021,0.992,0.081,0.967
S,0.05,--,0.992,0.000,1.000
O+S,0.005,0.011,0.996,0.841,0.376
O+S,0.01,0.025,0.995,0.563,0.813
O+S,0.02,0.025,0.992,0.081,0.973
O+S,0.05,--,0.992,0.000,1.000
O+Q+S,0.005,0.013,0.998,0.885,0.405
O+Q+S,0.01,0.023,0.995,0.563,0.798
O+Q+S,0.02,0.031,0.992,0.128,0.966
O+Q+S,0.05,--,0.992,0.000,1.000
