Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.056,0.948,0.471,0.547
O,0.1,--,0.946,0.000,1.000
O,0.15,--,0.946,0.000,1.000
O,0.2,--,0.946,0.000,1.000
O+Q,0.05,0.067,0.958,0.577,0.546
O+Q,0.1,0.000,0.946,0.000,1.000
O+Q,0.15,--,0.946,0.000,1.000
O+Q,0.2,--,0.946,0.000,1.000
S,0.05,0.054,0.947,0.433,0.570
S,0.1,0.000,0.946,0.000,0.999
S,0.15,--,0.946,0.000,1.000
S,0.2,--,0.946,0.000,1.000
O+S,0.05,0.057,0.949,0.458,0.568
O+S,0.1,0.000,0.946,0.000,1.000
O+S,0.15,--,0.946,0.000,1.000
O+S,0.2,--,0.946,0.000,1.000
O+Q+S,0.05,0.083,0.993,0.947,0.408
O+Q+S,0.1,0.155,0.953,0.183,0.944
O+Q+S,0.15,0.444,0.947,0.006,1.000
O+Q+S,0.2,--,0.946,0.000,1.000
