Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.544,-0.144,0.921,0.051,0.056,0.948,--,0.946,--,0.946,--,0.946,ref
O+Q,0.583,0.176,1.030,0.051,0.067,0.958,0.000,0.946,--,0.946,--,0.946,0.261
S,0.536,-1.154,0.578,0.051,0.054,0.947,0.000,0.946,--,0.946,--,0.946,0.048
O+S,0.535,-0.989,0.634,0.051,0.057,0.949,0.000,0.946,--,0.946,--,0.946,0.073
O+Q+S,0.724,0.995,1.364,0.049,0.083,0.993,0.155,0.953,0.444,0.947,--,0.946,0.656
