n,min_risk,max_risk,observed_event_rate,mean_predicted_risk
11499.469842172026,0.0150163355416349,0.0999476490314493,0.03933959492299422,0.055538446894798345
3215.0372864964615,0.1000590928123724,0.1999340837932397,0.1441943855810738,0.13910658558917913
1102.4733691101712,0.2003877291145123,0.2998911139946563,0.29296196704994365,0.24324346767267516
521.6686212015134,0.3000595045161012,0.3997228207374295,0.47553671413257775,0.34400363960670366
275.6493659643395,0.4000049148511008,0.4995887352285087,0.6254524728556262,0.4430559328282003
229.24501855876431,0.503673411893784,0.5997856626020789,0.6397085039232205,0.550271275312299
112.96912175183299,0.6013964020917554,0.6980527906094223,0.7715221053774753,0.6479526823832383
71.00268917452675,0.7029040820239415,0.7946823748405117,0.8545917209880861,0.7451249345722396
36.43329876632889,0.8005403224759969,0.8988151580348236,1.0,0.8438898029406429
1.0513868040076617,0.9010413615727552,0.9010413615727552,1.0,0.9010413615727552
