Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.156,0.976,0.939,0.330
O,0.1,0.277,0.961,0.773,0.733
O,0.15,0.365,0.947,0.637,0.853
O,0.2,0.458,0.938,0.540,0.915
O+S,0.05,0.220,0.972,0.872,0.591
O+S,0.1,0.373,0.955,0.697,0.845
O+S,0.15,0.475,0.943,0.585,0.915
O+S,0.2,0.530,0.932,0.480,0.944
O+D,0.05,0.184,0.971,0.894,0.475
O+D,0.1,0.341,0.954,0.701,0.821
O+D,0.15,0.443,0.941,0.569,0.905
O+D,0.2,0.541,0.931,0.471,0.947
O+S+D,0.05,0.228,0.973,0.872,0.610
O+S+D,0.1,0.393,0.954,0.688,0.860
O+S+D,0.15,0.503,0.943,0.575,0.925
O+S+D,0.2,0.562,0.931,0.469,0.952
