Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.063,0.961,0.620,0.506
O,0.1,--,0.949,0.000,1.000
O,0.15,--,0.949,0.000,1.000
O,0.2,--,0.949,0.000,1.000
O+Q,0.05,0.058,0.959,0.655,0.435
O+Q,0.1,--,0.949,0.000,1.000
O+Q,0.15,--,0.949,0.000,1.000
O+Q,0.2,--,0.949,0.000,1.000
S,0.05,0.055,0.954,0.583,0.462
S,0.1,0.000,0.949,0.000,0.997
S,0.15,--,0.949,0.000,1.000
S,0.2,--,0.949,0.000,1.000
O+S,0.05,0.057,0.956,0.589,0.479
O+S,0.1,0.000,0.949,0.000,0.999
O+S,0.15,--,0.949,0.000,1.000
O+S,0.2,--,0.949,0.000,1.000
O+Q+S,0.05,0.079,0.996,0.973,0.395
O+Q+S,0.1,0.103,0.954,0.185,0.913
O+Q+S,0.15,0.190,0.950,0.027,0.994
O+Q+S,0.2,0.000,0.949,0.000,0.999
