,Feature,Gain
16,SF12_phys_accless,9.338863372802734
14,SF12_walkmile,8.847676277160645
12,SF12_modact,7.125185489654541
18,SF12_energy,6.963905334472656
15,SF12_cut_time,6.839365482330322
13,SF12_bending,6.5746588706970215
19,SF12_felt_down,6.328126907348633
29,alcuse,6.081597328186035
0,ageaccel,5.659547328948975
11,SF12_vigact,5.639924049377441
21,stairclimb,5.542588710784912
17,SF12_pain,5.4166154861450195
2,histhtn,5.287096977233887
5,had_jointyrs_time,5.28097677230835
20,tmethrst,5.1349358558654785
6,total_steps_norm,5.078924655914307
3,heightbs,5.045584678649902
24,walking,4.852632999420166
4,EDUC,4.846989154815674
26,lowexer,4.803339958190918
23,aerobic,4.644043445587158
9,sit_hometv,4.640958309173584
1,bmi,4.5654215812683105
30,first_fall_pre,4.381340980529785
28,genhealth,4.2348809242248535
7,n_days_wear,4.043006420135498
22,biking,3.841649293899536
25,lifting,3.794965982437134
27,othrexer,3.7076683044433594
8,sit_work,3.538634777069092
10,sithome,3.311931610107422
