Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.003,0.998,0.286,0.787
O,0.01,0.011,0.998,0.143,0.972
O,0.02,--,0.998,0.000,1.000
O,0.05,--,0.998,0.000,1.000
O+Q,0.005,0.003,0.998,0.286,0.790
O+Q,0.01,0.000,0.998,0.000,0.963
O+Q,0.02,0.000,0.998,0.000,0.997
O+Q,0.05,--,0.998,0.000,1.000
S,0.005,0.005,0.998,0.286,0.873
S,0.01,0.000,0.998,0.000,0.991
S,0.02,0.000,0.998,0.000,1.000
S,0.05,--,0.998,0.000,1.000
O+S,0.005,0.003,0.998,0.286,0.810
O+S,0.01,0.000,0.998,0.000,0.984
O+S,0.02,0.000,0.998,0.000,0.999
O+S,0.05,--,0.998,0.000,1.000
O+Q+S,0.005,0.003,0.998,0.286,0.797
O+Q+S,0.01,0.008,0.998,0.143,0.963
O+Q+S,0.02,0.000,0.998,0.000,0.998
O+Q+S,0.05,--,0.998,0.000,1.000
