Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.073,0.972,0.596,0.654
O,0.1,0.137,0.958,0.067,0.981
O,0.15,0.397,0.956,0.003,1.000
O,0.2,--,0.956,0.000,1.000
O+S,0.05,0.102,0.983,0.736,0.703
O+S,0.1,0.159,0.967,0.302,0.927
O+S,0.15,0.182,0.959,0.070,0.986
O+S,0.2,0.208,0.957,0.015,0.997
O+D,0.05,0.078,0.973,0.595,0.677
O+D,0.1,0.154,0.959,0.098,0.975
O+D,0.15,0.311,0.957,0.009,0.999
O+D,0.2,1.000,0.956,0.001,1.000
O+S+D,0.05,0.105,0.984,0.753,0.705
O+S+D,0.1,0.150,0.966,0.281,0.927
O+S+D,0.15,0.216,0.959,0.079,0.987
O+S+D,0.2,0.328,0.957,0.018,0.998
