Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.678,0.273,1.090,0.041,0.073,0.972,0.137,0.958,0.397,0.956,--,0.956,ref
O+S,0.776,0.921,1.338,0.040,0.102,0.983,0.159,0.967,0.182,0.959,0.208,0.957,0.607
O+D,0.700,0.841,1.285,0.041,0.078,0.973,0.154,0.959,0.311,0.957,1.000,0.956,0.001
O+S+D,0.784,1.062,1.390,0.040,0.105,0.984,0.150,0.966,0.216,0.959,0.328,0.957,0.596
