Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.008,0.992,0.647,0.336
O,0.01,0.006,0.992,0.078,0.893
O,0.02,0.000,0.992,0.000,0.997
O,0.05,--,0.992,0.000,1.000
O+Q,0.005,0.010,0.997,0.870,0.295
O+Q,0.01,0.020,0.993,0.217,0.915
O+Q,0.02,0.000,0.992,0.000,0.999
O+Q,0.05,--,0.992,0.000,1.000
S,0.005,0.012,0.995,0.651,0.566
S,0.01,0.014,0.994,0.306,0.835
S,0.02,0.022,0.993,0.120,0.958
S,0.05,0.000,0.992,0.000,0.998
O+S,0.005,0.010,0.994,0.570,0.576
O+S,0.01,0.015,0.994,0.295,0.845
O+S,0.02,0.021,0.993,0.120,0.955
O+S,0.05,0.000,0.992,0.000,0.998
O+Q+S,0.005,0.014,0.997,0.786,0.563
O+Q+S,0.01,0.021,0.995,0.425,0.847
O+Q+S,0.02,0.032,0.993,0.165,0.960
O+Q+S,0.05,0.000,0.992,0.000,0.999
