Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.009,0.990,0.810,0.175
O,0.01,0.015,0.992,0.144,0.914
O,0.02,0.000,0.991,0.000,1.000
O,0.05,--,0.991,0.000,1.000
O+S,0.005,0.010,0.995,0.892,0.193
O+S,0.01,0.017,0.992,0.216,0.885
O+S,0.02,0.038,0.991,0.014,0.997
O+S,0.05,--,0.991,0.000,1.000
O+D,0.005,0.014,0.996,0.771,0.518
O+D,0.01,0.025,0.995,0.546,0.804
O+D,0.02,0.039,0.993,0.217,0.951
O+D,0.05,0.096,0.991,0.030,0.997
O+S+D,0.005,0.015,0.997,0.819,0.522
O+S+D,0.01,0.027,0.995,0.584,0.809
O+S+D,0.02,0.042,0.993,0.238,0.951
O+S+D,0.05,0.092,0.991,0.044,0.996
