Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.007,0.995,0.563,0.505
O,0.01,0.006,0.994,0.010,0.989
O,0.02,0.000,0.994,0.000,1.000
O,0.05,--,0.994,0.000,1.000
O+S,0.005,0.009,0.996,0.645,0.587
O+S,0.01,0.013,0.994,0.072,0.966
O+S,0.02,0.069,0.994,0.010,0.999
O+S,0.05,--,0.994,0.000,1.000
O+D,0.005,0.013,0.998,0.742,0.661
O+D,0.01,0.025,0.996,0.480,0.885
O+D,0.02,0.045,0.995,0.177,0.977
O+D,0.05,0.096,0.994,0.022,0.999
O+S+D,0.005,0.014,0.998,0.763,0.662
O+S+D,0.01,0.028,0.997,0.531,0.889
O+S+D,0.02,0.038,0.995,0.156,0.976
O+S+D,0.05,0.138,0.994,0.032,0.999
