Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.551,-2.435,0.505,0.006,0.007,0.995,0.006,0.994,0.000,0.994,--,0.994,ref
O+S,0.632,1.744,1.308,0.006,0.009,0.996,0.013,0.994,0.069,0.994,--,0.994,0.316
O+D,0.763,1.138,1.206,0.006,0.013,0.998,0.025,0.996,0.045,0.995,0.096,0.994,0.821
O+S+D,0.786,1.518,1.288,0.006,0.014,0.998,0.028,0.997,0.038,0.995,0.138,0.994,0.884
