Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.524,-5.311,0.151,0.002,0.002,0.998,0.000,0.998,0.000,0.998,--,0.998,ref
O+Q,0.758,1.355,1.364,0.002,0.006,0.999,0.008,0.998,0.000,0.998,--,0.998,0.986
S,0.569,-1.693,0.799,0.002,0.003,0.998,0.022,0.998,0.000,0.998,--,0.998,-0.035
O+S,0.547,-5.206,0.170,0.002,0.003,0.998,0.000,0.998,0.000,0.998,--,0.998,-0.137
O+Q+S,0.731,0.574,1.218,0.002,0.005,0.999,0.009,0.998,0.000,0.998,0.000,0.998,1.169
