Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.002,0.998,0.142,0.805
O,0.01,0.000,0.998,0.000,0.974
O,0.02,0.000,0.998,0.000,0.998
O,0.05,--,0.998,0.000,1.000
O+Q,0.005,0.006,0.999,0.572,0.816
O+Q,0.01,0.008,0.998,0.142,0.964
O+Q,0.02,0.000,0.998,0.000,0.996
O+Q,0.05,--,0.998,0.000,1.000
S,0.005,0.003,0.998,0.143,0.883
S,0.01,0.022,0.998,0.143,0.987
S,0.02,0.000,0.998,0.000,0.998
S,0.05,--,0.998,0.000,1.000
O+S,0.005,0.003,0.998,0.285,0.823
O+S,0.01,0.000,0.998,0.000,0.972
O+S,0.02,0.000,0.998,0.000,0.997
O+S,0.05,--,0.998,0.000,1.000
O+Q+S,0.005,0.005,0.999,0.428,0.810
O+Q+S,0.01,0.009,0.998,0.142,0.968
O+Q+S,0.02,0.000,0.998,0.000,0.995
O+Q+S,0.05,0.000,0.998,0.000,1.000
