Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.672,1.215,1.117,0.005,0.016,0.996,0.040,0.995,--,0.995,--,0.995,ref
O+Q,0.755,3.090,1.468,0.005,0.024,0.997,0.040,0.995,0.000,0.995,--,0.995,0.700
S,0.601,1.632,1.190,0.005,0.020,0.996,0.000,0.995,0.000,0.995,--,0.995,-0.147
O+S,0.692,1.809,1.223,0.005,0.021,0.996,0.000,0.995,0.000,0.995,--,0.995,-0.096
O+Q+S,0.752,3.404,1.521,0.005,0.015,0.996,0.033,0.995,0.000,0.995,--,0.995,0.341
