Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.016,0.996,0.278,0.906
O,0.01,0.040,0.995,0.056,0.993
O,0.02,--,0.995,0.000,1.000
O,0.05,--,0.995,0.000,1.000
O+Q,0.005,0.024,0.997,0.556,0.877
O+Q,0.01,0.040,0.995,0.168,0.978
O+Q,0.02,0.000,0.995,0.000,0.999
O+Q,0.05,--,0.995,0.000,1.000
S,0.005,0.020,0.996,0.222,0.940
S,0.01,0.000,0.995,0.000,0.995
S,0.02,0.000,0.995,0.000,0.998
S,0.05,--,0.995,0.000,1.000
O+S,0.005,0.021,0.996,0.389,0.900
O+S,0.01,0.000,0.995,0.000,0.989
O+S,0.02,0.000,0.995,0.000,0.998
O+S,0.05,--,0.995,0.000,1.000
O+Q+S,0.005,0.015,0.996,0.333,0.882
O+Q+S,0.01,0.033,0.995,0.112,0.982
O+Q+S,0.02,0.000,0.995,0.000,0.998
O+Q+S,0.05,--,0.995,0.000,1.000
