Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.667,0.112,0.979,0.139,0.212,0.995,0.212,0.954,0.224,0.895,0.287,0.868,ref
O+S,0.719,0.138,1.008,0.131,0.212,0.991,0.235,0.945,0.287,0.911,0.367,0.897,0.412
O+D,0.679,0.399,1.187,0.136,0.212,0.999,0.209,0.948,0.227,0.897,0.330,0.880,-0.035
O+S+D,0.725,0.322,1.136,0.129,0.211,0.993,0.229,0.942,0.294,0.918,0.366,0.899,0.327
