Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.212,0.995,0.996,0.183
O,0.1,0.212,0.954,0.951,0.223
O,0.15,0.224,0.895,0.785,0.402
O,0.2,0.287,0.868,0.497,0.728
O+S,0.05,0.212,0.991,0.992,0.188
O+S,0.1,0.235,0.945,0.907,0.348
O+S,0.15,0.287,0.911,0.736,0.598
O+S,0.2,0.367,0.897,0.599,0.772
O+D,0.05,0.212,0.999,0.999,0.183
O+D,0.1,0.209,0.948,0.948,0.210
O+D,0.15,0.227,0.897,0.787,0.411
O+D,0.2,0.330,0.880,0.528,0.763
O+S+D,0.05,0.211,0.993,0.994,0.183
O+S+D,0.1,0.229,0.942,0.909,0.326
O+S+D,0.15,0.294,0.918,0.758,0.598
O+S+D,0.2,0.366,0.899,0.609,0.768
