Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.588,-0.520,0.728,0.094,0.108,0.918,0.129,0.915,0.161,0.900,0.442,0.894,ref
O+Q,0.658,-0.099,0.923,0.092,0.119,0.955,0.160,0.932,0.217,0.919,0.235,0.903,0.386
S,0.598,0.981,1.421,0.094,0.106,1.000,0.140,0.924,0.267,0.896,--,0.894,-0.064
O+S,0.615,-0.023,0.961,0.094,0.108,0.923,0.141,0.924,0.177,0.902,0.268,0.894,0.164
O+Q+S,0.757,0.288,1.124,0.085,0.144,0.978,0.206,0.954,0.271,0.941,0.316,0.926,0.737
