Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.108,0.918,0.951,0.065
O,0.1,0.129,0.915,0.589,0.526
O,0.15,0.161,0.900,0.152,0.906
O,0.2,0.442,0.894,0.003,1.000
O+Q,0.05,0.119,0.955,0.925,0.187
O+Q,0.1,0.160,0.932,0.628,0.608
O+Q,0.15,0.217,0.919,0.382,0.836
O+Q,0.2,0.235,0.903,0.151,0.942
S,0.05,0.106,1.000,1.000,0.000
S,0.1,0.140,0.924,0.618,0.550
S,0.15,0.267,0.896,0.029,0.990
S,0.2,--,0.894,0.000,1.000
O+S,0.05,0.108,0.923,0.957,0.061
O+S,0.1,0.141,0.924,0.619,0.553
O+S,0.15,0.177,0.902,0.181,0.900
O+S,0.2,0.268,0.894,0.012,0.996
O+Q+S,0.05,0.144,0.978,0.935,0.339
O+Q+S,0.1,0.206,0.954,0.731,0.664
O+Q+S,0.15,0.271,0.941,0.573,0.817
O+Q+S,0.2,0.316,0.926,0.395,0.898
