Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.023,0.995,0.968,0.126
O,0.01,0.026,0.989,0.801,0.369
O,0.02,0.039,0.985,0.432,0.778
O,0.05,--,0.979,0.000,1.000
O+Q,0.005,0.023,0.997,0.981,0.118
O+Q,0.01,0.026,0.989,0.816,0.360
O+Q,0.02,0.044,0.986,0.458,0.792
O+Q,0.05,0.061,0.980,0.014,0.995
S,0.005,0.021,1.000,1.000,0.000
S,0.01,0.022,0.984,0.813,0.242
S,0.02,0.033,0.982,0.274,0.831
S,0.05,--,0.979,0.000,1.000
O+S,0.005,0.022,0.991,0.963,0.088
O+S,0.01,0.028,0.991,0.829,0.387
O+S,0.02,0.037,0.984,0.394,0.787
O+S,0.05,0.000,0.979,0.000,1.000
O+Q+S,0.005,0.021,0.987,0.944,0.089
O+Q+S,0.01,0.026,0.989,0.798,0.384
O+Q+S,0.02,0.041,0.985,0.429,0.792
O+Q+S,0.05,0.000,0.979,0.000,0.996
