threshold,strategy,net_benefit,model
0.005,O,-0.0009130410088545122,O
0.01,O,-0.0011354040423810845,O
0.015,O,-0.00018692944413484466,O
0.02,O,-2.8704372551035176e-05,O
0.025,O,-9.835764020984082e-06,O
0.03,O,-3.954585534210094e-06,O
0.035,O,-2.3187941085739677e-06,O
0.04,O,0.0,O
0.045,O,0.0,O
0.05,O,0.0,O
0.055,O,0.0,O
0.06,O,0.0,O
0.065,O,0.0,O
0.07,O,0.0,O
0.075,O,0.0,O
0.08,O,0.0,O
0.085,O,0.0,O
0.09,O,0.0,O
0.095,O,0.0,O
0.1,O,0.0,O
0.005,Treat all,-0.0029365466562946605,O
0.01,Treat all,-0.008001882750518372,O
0.015,Treat all,-0.013118643576663133,O
0.02,Treat all,-0.018287616247972642,O
0.025,Treat all,-0.02350960402360327,O
0.03,Treat all,-0.028785426724755862,O
0.035,Treat all,-0.03411592116374424,O
0.04,Treat all,-0.03950194158647207,O
0.045,Treat all,-0.04494436012880962,O
0.05,Treat all,-0.05044406728738231,O
0.055,Treat all,-0.05600197240530496,O
0.06,Treat all,-0.061619004173418285,O
0.065,Treat all,-0.06729611114760768,O
0.07,Treat all,-0.07303426228280989,O
0.075,Treat all,-0.07883444748433857,O
0.08,Treat all,-0.08469767817718825,O
0.085,Treat all,-0.09062498789400349,O
0.09,Treat all,-0.09661743288243207,O
0.095,Treat all,-0.10267609273261125,O
0.1,Treat all,-0.10880207102557021,O
0.005,Treat none,0.0,O
0.01,Treat none,0.0,O
0.015,Treat none,0.0,O
0.02,Treat none,0.0,O
0.025,Treat none,0.0,O
0.03,Treat none,0.0,O
0.035,Treat none,0.0,O
0.04,Treat none,0.0,O
0.045,Treat none,0.0,O
0.05,Treat none,0.0,O
0.055,Treat none,0.0,O
0.06,Treat none,0.0,O
0.065,Treat none,0.0,O
0.07,Treat none,0.0,O
0.075,Treat none,0.0,O
0.08,Treat none,0.0,O
0.085,Treat none,0.0,O
0.09,Treat none,0.0,O
0.095,Treat none,0.0,O
0.1,Treat none,0.0,O
0.005,O+S,-0.0006377637793067749,O+S
0.01,O+S,-0.0008273858266049313,O+S
0.015,O+S,-0.00041785411442176747,O+S
0.02,O+S,-0.00016831200268561534,O+S
0.025,O+S,-6.721105414339122e-05,O+S
0.03,O+S,-1.9772927671050474e-05,O+S
0.035,O+S,-2.3187941085739677e-06,O+S
0.04,O+S,0.0,O+S
0.045,O+S,0.0,O+S
0.05,O+S,0.0,O+S
0.055,O+S,0.0,O+S
0.06,O+S,0.0,O+S
0.065,O+S,0.0,O+S
0.07,O+S,0.0,O+S
0.075,O+S,0.0,O+S
0.08,O+S,0.0,O+S
0.085,O+S,0.0,O+S
0.09,O+S,0.0,O+S
0.095,O+S,0.0,O+S
0.1,O+S,0.0,O+S
0.005,Treat all,-0.0029365466562946605,O+S
0.01,Treat all,-0.008001882750518372,O+S
0.015,Treat all,-0.013118643576663133,O+S
0.02,Treat all,-0.018287616247972642,O+S
0.025,Treat all,-0.02350960402360327,O+S
0.03,Treat all,-0.028785426724755862,O+S
0.035,Treat all,-0.03411592116374424,O+S
0.04,Treat all,-0.03950194158647207,O+S
