Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.008,0.997,0.614,0.597
O,0.01,0.010,0.996,0.266,0.863
O,0.02,0.000,0.995,0.000,0.999
O,0.05,--,0.995,0.000,1.000
O+S,0.005,0.009,0.997,0.673,0.604
O+S,0.01,0.014,0.996,0.303,0.888
O+S,0.02,0.008,0.995,0.012,0.992
O+S,0.05,--,0.995,0.000,1.000
O+D,0.005,0.008,0.996,0.581,0.596
O+D,0.01,0.010,0.995,0.186,0.899
O+D,0.02,0.007,0.995,0.011,0.992
O+D,0.05,0.315,0.995,0.011,1.000
O+S+D,0.005,0.008,0.997,0.638,0.593
O+S+D,0.01,0.011,0.995,0.221,0.899
O+S+D,0.02,0.006,0.995,0.011,0.989
O+S+D,0.05,0.000,0.995,0.000,1.000
