Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.014,--,1.000,0.000
O,0.01,0.021,0.992,0.699,0.527
O,0.02,0.034,0.989,0.309,0.871
O,0.05,0.000,0.986,0.000,1.000
O+S,0.005,0.015,1.000,1.000,0.011
O+S,0.01,0.022,0.992,0.702,0.537
O+S,0.02,0.034,0.988,0.280,0.884
O+S,0.05,0.000,0.986,0.000,0.997
O+D,0.005,0.015,1.000,1.000,0.008
O+D,0.01,0.020,0.991,0.689,0.516
O+D,0.02,0.036,0.988,0.279,0.892
O+D,0.05,0.021,0.986,0.004,0.997
O+S+D,0.005,0.015,1.000,1.000,0.012
O+S+D,0.01,0.021,0.992,0.697,0.518
O+S+D,0.02,0.034,0.988,0.254,0.894
O+S+D,0.05,0.017,0.986,0.004,0.996
