Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.142,0.972,0.699,0.708
O,0.1,0.218,0.958,0.436,0.892
O,0.15,0.288,0.953,0.326,0.944
O,0.2,0.325,0.945,0.170,0.976
O+Q,0.05,0.201,0.978,0.737,0.798
O+Q,0.1,0.318,0.966,0.526,0.922
O+Q,0.15,0.436,0.961,0.432,0.961
O+Q,0.2,0.510,0.956,0.354,0.977
S,0.05,0.154,0.972,0.686,0.739
S,0.1,0.228,0.956,0.392,0.909
S,0.15,0.316,0.949,0.255,0.962
S,0.2,0.335,0.944,0.153,0.979
O+S,0.05,0.172,0.975,0.718,0.762
O+S,0.1,0.251,0.959,0.439,0.910
O+S,0.15,0.323,0.953,0.313,0.955
O+S,0.2,0.366,0.949,0.238,0.972
O+Q+S,0.05,0.207,0.977,0.728,0.808
O+Q+S,0.1,0.337,0.969,0.566,0.923
O+Q+S,0.15,0.457,0.963,0.466,0.962
O+Q+S,0.2,0.510,0.959,0.399,0.974
