Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.111,0.932,0.967,0.055
O,0.1,0.135,0.917,0.614,0.518
O,0.15,0.188,0.901,0.192,0.899
O,0.2,0.000,0.891,0.000,1.000
O+Q,0.05,0.118,0.955,0.946,0.139
O+Q,0.1,0.174,0.938,0.665,0.615
O+Q,0.15,0.201,0.913,0.357,0.827
O+Q,0.2,0.243,0.901,0.159,0.940
S,0.05,0.109,0.908,0.994,0.007
S,0.1,0.126,0.908,0.578,0.510
S,0.15,0.220,0.894,0.061,0.974
S,0.2,--,0.891,0.000,1.000
O+S,0.05,0.111,0.930,0.973,0.043
O+S,0.1,0.136,0.916,0.594,0.538
O+S,0.15,0.195,0.902,0.206,0.896
O+S,0.2,0.196,0.891,0.006,0.997
O+Q+S,0.05,0.141,0.981,0.955,0.287
O+Q+S,0.1,0.210,0.957,0.760,0.650
O+Q+S,0.15,0.264,0.935,0.540,0.816
O+Q+S,0.2,0.302,0.920,0.366,0.897
