Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.593,-0.171,0.886,0.096,0.111,0.932,0.135,0.917,0.188,0.901,0.000,0.891,ref
O+Q,0.664,0.136,1.034,0.094,0.118,0.955,0.174,0.938,0.201,0.913,0.243,0.901,0.358
S,0.577,-0.009,0.960,0.096,0.109,0.908,0.126,0.908,0.220,0.894,--,0.891,-0.105
O+S,0.606,-0.033,0.953,0.096,0.111,0.930,0.136,0.916,0.195,0.902,0.196,0.891,0.134
O+Q+S,0.756,0.329,1.154,0.088,0.141,0.981,0.210,0.957,0.264,0.935,0.302,0.920,0.681
