Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.644,0.711,1.146,0.033,0.035,--,0.035,1.000,0.043,0.981,0.113,0.971,ref
O+Q,0.704,1.127,1.277,0.033,0.035,--,0.036,0.992,0.049,0.988,0.115,0.974,0.449
S,0.585,0.799,1.168,0.033,0.035,--,0.035,--,0.036,0.973,0.124,0.968,-0.160
O+S,0.641,1.021,1.235,0.033,0.035,--,0.035,1.000,0.041,0.979,0.126,0.972,-0.043
O+Q+S,0.697,1.283,1.326,0.033,0.035,--,0.036,1.000,0.046,0.987,0.102,0.972,0.248
