Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.035,--,1.000,0.000
O,0.01,0.035,1.000,1.000,0.002
O,0.02,0.043,0.981,0.807,0.352
O,0.05,0.113,0.971,0.229,0.936
O+Q,0.005,0.035,--,1.000,0.000
O+Q,0.01,0.036,0.992,0.988,0.053
O+Q,0.02,0.049,0.988,0.859,0.401
O+Q,0.05,0.115,0.974,0.321,0.911
S,0.005,0.035,--,1.000,0.000
S,0.01,0.035,--,1.000,0.000
S,0.02,0.036,0.973,0.887,0.143
S,0.05,0.124,0.968,0.117,0.970
O+S,0.005,0.035,--,1.000,0.000
O+S,0.01,0.035,1.000,1.000,0.004
O+S,0.02,0.041,0.979,0.807,0.325
O+S,0.05,0.126,0.972,0.253,0.937
O+Q+S,0.005,0.035,--,1.000,0.000
O+Q+S,0.01,0.036,1.000,1.000,0.032
O+Q+S,0.02,0.046,0.987,0.864,0.362
O+Q+S,0.05,0.102,0.972,0.278,0.913
