Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.603,1.719,1.332,0.020,0.021,--,0.022,0.988,0.048,0.984,--,0.979,ref
O+S,0.609,2.543,1.530,0.020,0.021,--,0.024,0.989,0.046,0.985,1.000,0.980,0.101
O+D,0.644,1.949,1.402,0.020,0.021,--,0.022,0.989,0.047,0.985,0.013,0.979,-0.115
O+S+D,0.638,1.728,1.350,0.020,0.021,--,0.022,0.988,0.038,0.984,1.000,0.979,-0.118
