Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.021,--,1.000,0.000
O,0.01,0.022,0.988,0.909,0.161
O,0.02,0.048,0.984,0.363,0.848
O,0.05,--,0.979,0.000,1.000
O+S,0.005,0.021,--,1.000,0.000
O+S,0.01,0.024,0.989,0.884,0.223
O+S,0.02,0.046,0.985,0.387,0.830
O+S,0.05,1.000,0.980,0.016,1.000
O+D,0.005,0.021,--,1.000,0.000
O+D,0.01,0.022,0.989,0.926,0.138
O+D,0.02,0.047,0.985,0.386,0.835
O+D,0.05,0.013,0.979,0.003,0.996
O+S+D,0.005,0.021,--,1.000,0.000
O+S+D,0.01,0.022,0.988,0.922,0.134
O+S+D,0.02,0.038,0.984,0.378,0.795
O+S+D,0.05,1.000,0.979,0.009,1.000
