Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.054,0.949,0.526,0.491
O,0.1,--,0.948,0.000,1.000
O,0.15,--,0.948,0.000,1.000
O,0.2,--,0.948,0.000,1.000
O+Q,0.05,0.054,0.950,0.527,0.493
O+Q,0.1,1.000,0.948,0.006,1.000
O+Q,0.15,--,0.948,0.000,1.000
O+Q,0.2,--,0.948,0.000,1.000
S,0.05,0.050,0.944,0.533,0.439
S,0.1,--,0.948,0.000,1.000
S,0.15,--,0.948,0.000,1.000
S,0.2,--,0.948,0.000,1.000
O+S,0.05,0.049,0.943,0.526,0.433
O+S,0.1,0.000,0.948,0.000,1.000
O+S,0.15,--,0.948,0.000,1.000
O+S,0.2,--,0.948,0.000,1.000
O+Q+S,0.05,0.077,0.991,0.937,0.376
O+Q+S,0.1,0.129,0.954,0.193,0.928
O+Q+S,0.15,0.346,0.948,0.020,0.998
O+Q+S,0.2,--,0.948,0.000,1.000
