,Feature,Gain
32,first_fall_pre,56.885005950927734
17,SF12_cut_time,34.19136047363281
13,SF12_lifting,33.055458068847656
1,ageaccel,21.095497131347656
12,SF12_modact,19.006427764892578
15,SF12_walkblocks,17.662860870361328
23,SF12_soc_act,15.479305267333984
2,bmi,14.199941635131836
21,SF12_energy,14.03534984588623
33,n_falls_pre,13.423948287963867
19,SF12_pain,11.114557266235352
18,SF12_limitedwork,10.659468650817871
11,SF12_vigact,10.436976432800293
14,SF12_walkmile,9.589144706726074
5,had_jointyrs_time,8.474224090576172
20,SF12_felt_calm,8.114206314086914
34,had_parkyrs_time,7.98514461517334
4,heightbs,7.156555652618408
0,RACE,7.148685455322266
31,genhealth,7.068419456481934
16,SF12_walkblock,6.601850986480713
24,tmethrst,6.265274524688721
30,othrexer,6.192372798919678
3,weight,5.9584455490112305
10,sithome,5.8766937255859375
28,jogging,5.871201992034912
7,n_days_wear,5.77539587020874
6,total_steps_norm,5.516897201538086
25,walkpace,5.397146701812744
8,sit_work,5.218947410583496
27,biking,5.049346923828125
9,sit_hometv,5.046115875244141
22,SF12_felt_down,4.867182731628418
29,aerobic,4.644486904144287
26,stairclimb,4.602386951446533
