Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.016,--,1.000,0.000
O,0.01,0.023,0.993,0.784,0.458
O,0.02,0.038,0.988,0.356,0.854
O,0.05,--,0.984,0.000,1.000
O+Q,0.005,0.016,--,1.000,0.000
O+Q,0.01,0.026,0.992,0.704,0.577
O+Q,0.02,0.044,0.987,0.269,0.907
O+Q,0.05,0.000,0.984,0.000,0.999
S,0.005,0.016,--,1.000,0.000
S,0.01,0.019,0.990,0.753,0.374
S,0.02,0.064,0.988,0.270,0.936
S,0.05,--,0.984,0.000,1.000
O+S,0.005,0.016,--,1.000,0.000
O+S,0.01,0.026,0.995,0.838,0.494
O+S,0.02,0.042,0.987,0.271,0.901
O+S,0.05,--,0.984,0.000,1.000
O+Q+S,0.005,0.016,--,1.000,0.000
O+Q+S,0.01,0.026,0.995,0.836,0.490
O+Q+S,0.02,0.053,0.988,0.291,0.916
O+Q+S,0.05,--,0.984,0.000,1.000
