Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.673,2.681,1.566,0.015,0.016,--,0.023,0.993,0.038,0.988,--,0.984,ref
O+Q,0.678,2.733,1.570,0.015,0.016,--,0.026,0.992,0.044,0.987,0.000,0.984,-0.046
S,0.657,4.648,2.023,0.015,0.016,--,0.019,0.990,0.064,0.988,--,0.984,-0.145
O+S,0.703,3.848,1.841,0.015,0.016,--,0.026,0.995,0.042,0.987,--,0.984,0.029
O+Q+S,0.707,3.975,1.868,0.015,0.016,--,0.026,0.995,0.053,0.988,--,0.984,0.080
