Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,--,0.987,0.000,1.000
O,0.1,--,0.987,0.000,1.000
O,0.15,--,0.987,0.000,1.000
O,0.2,--,0.987,0.000,1.000
O+S,0.05,0.054,0.987,0.032,0.993
O+S,0.1,--,0.987,0.000,1.000
O+S,0.15,--,0.987,0.000,1.000
O+S,0.2,--,0.987,0.000,1.000
O+D,0.05,0.249,0.987,0.009,1.000
O+D,0.1,--,0.987,0.000,1.000
O+D,0.15,--,0.987,0.000,1.000
O+D,0.2,--,0.987,0.000,1.000
O+S+D,0.05,0.090,0.988,0.055,0.993
O+S+D,0.1,0.000,0.987,0.000,1.000
O+S+D,0.15,--,0.987,0.000,1.000
O+S+D,0.2,--,0.987,0.000,1.000
