Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.678,0.382,1.077,0.013,--,0.987,--,0.987,--,0.987,--,0.987,ref
O+S,0.747,0.558,1.122,0.013,0.054,0.987,--,0.987,--,0.987,--,0.987,0.534
O+D,0.715,1.715,1.395,0.013,0.249,0.987,--,0.987,--,0.987,--,0.987,0.133
O+S+D,0.764,1.057,1.246,0.013,0.090,0.988,0.000,0.987,--,0.987,--,0.987,0.557
