Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.665,0.808,1.178,0.016,0.017,1.000,0.021,0.993,0.031,0.988,--,0.983,ref
O+Q,0.681,0.619,1.130,0.016,0.018,0.996,0.023,0.994,0.034,0.989,0.000,0.983,0.256
S,0.624,1.881,1.439,0.016,0.017,--,0.019,0.993,0.029,0.986,--,0.983,-0.331
O+S,0.660,1.387,1.320,0.016,0.017,1.000,0.021,0.993,0.032,0.988,--,0.983,-0.229
O+Q+S,0.676,0.933,1.211,0.016,0.017,0.991,0.022,0.994,0.035,0.989,0.071,0.984,0.081
