Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.017,1.000,1.000,0.047
O,0.01,0.021,0.993,0.857,0.338
O,0.02,0.031,0.988,0.450,0.766
O,0.05,--,0.983,0.000,1.000
O+Q,0.005,0.018,0.996,0.978,0.082
O+Q,0.01,0.023,0.994,0.877,0.359
O+Q,0.02,0.034,0.989,0.494,0.764
O+Q,0.05,0.000,0.983,0.000,0.994
S,0.005,0.017,--,1.000,0.000
S,0.01,0.019,0.993,0.922,0.191
S,0.02,0.029,0.986,0.312,0.827
S,0.05,--,0.983,0.000,1.000
O+S,0.005,0.017,1.000,1.000,0.007
O+S,0.01,0.021,0.993,0.857,0.324
O+S,0.02,0.032,0.988,0.412,0.786
O+S,0.05,--,0.983,0.000,1.000
O+Q+S,0.005,0.017,0.991,0.978,0.043
O+Q+S,0.01,0.022,0.994,0.877,0.334
O+Q+S,0.02,0.035,0.989,0.499,0.768
O+Q+S,0.05,0.071,0.984,0.023,0.995
