Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.055,--,1.000,0.000
O,0.01,0.055,--,1.000,0.000
O,0.02,0.055,0.952,0.994,0.007
O,0.05,0.074,0.969,0.752,0.453
O+S,0.005,0.055,--,1.000,0.000
O+S,0.01,0.055,--,1.000,0.000
O+S,0.02,0.058,0.982,0.978,0.070
O+S,0.05,0.108,0.967,0.580,0.719
O+D,0.005,0.055,--,1.000,0.000
O+D,0.01,0.055,--,1.000,0.000
O+D,0.02,0.056,0.964,0.984,0.025
O+D,0.05,0.088,0.967,0.636,0.615
O+S+D,0.005,0.055,--,1.000,0.000
O+S+D,0.01,0.055,--,1.000,0.000
O+S+D,0.02,0.058,0.983,0.981,0.066
O+S+D,0.05,0.122,0.966,0.526,0.778
