Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.060,0.957,0.593,0.492
O,0.1,--,0.948,0.000,1.000
O,0.15,--,0.948,0.000,1.000
O,0.2,--,0.948,0.000,1.000
O+Q,0.05,0.062,0.957,0.548,0.545
O+Q,0.1,0.000,0.948,0.000,0.999
O+Q,0.15,--,0.948,0.000,1.000
O+Q,0.2,--,0.948,0.000,1.000
S,0.05,0.056,0.952,0.497,0.542
S,0.1,0.000,0.948,0.000,0.999
S,0.15,--,0.948,0.000,1.000
S,0.2,--,0.948,0.000,1.000
O+S,0.05,0.060,0.955,0.530,0.544
O+S,0.1,0.000,0.948,0.000,0.998
O+S,0.15,--,0.948,0.000,1.000
O+S,0.2,--,0.948,0.000,1.000
O+Q+S,0.05,0.077,0.991,0.935,0.387
O+Q+S,0.1,0.105,0.951,0.111,0.948
O+Q+S,0.15,0.283,0.949,0.012,0.998
O+Q+S,0.2,--,0.948,0.000,1.000
