Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.563,-1.031,0.636,0.049,0.060,0.957,--,0.948,--,0.948,--,0.948,ref
O+Q,0.571,-0.343,0.868,0.049,0.062,0.957,0.000,0.948,--,0.948,--,0.948,-0.033
S,0.548,-0.664,0.756,0.049,0.056,0.952,0.000,0.948,--,0.948,--,0.948,-0.096
O+S,0.553,-0.924,0.670,0.049,0.060,0.955,0.000,0.948,--,0.948,--,0.948,-0.025
O+Q+S,0.722,0.693,1.250,0.047,0.077,0.991,0.105,0.951,0.283,0.949,--,0.948,0.686
