Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.648,-0.421,0.962,0.022,0.022,--,0.023,0.992,0.029,0.990,0.052,0.981,ref
O+S,0.728,0.321,1.108,0.021,0.022,1.000,0.025,0.994,0.041,0.989,0.121,0.984,0.493
O+D,0.645,-0.012,1.023,0.022,0.022,--,0.023,0.991,0.031,0.987,0.060,0.980,0.048
O+S+D,0.728,0.727,1.191,0.021,0.022,1.000,0.025,0.994,0.046,0.989,0.141,0.983,0.495
