Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.022,--,1.000,0.000
O,0.01,0.023,0.992,0.992,0.024
O,0.02,0.029,0.990,0.853,0.332
O,0.05,0.052,0.981,0.254,0.893
O+S,0.005,0.022,1.000,1.000,0.000
O+S,0.01,0.025,0.994,0.968,0.129
O+S,0.02,0.041,0.989,0.695,0.627
O+S,0.05,0.121,0.984,0.313,0.948
O+D,0.005,0.022,--,1.000,0.000
O+D,0.01,0.023,0.991,0.983,0.041
O+D,0.02,0.031,0.987,0.720,0.477
O+D,0.05,0.060,0.980,0.147,0.947
O+S+D,0.005,0.022,1.000,1.000,0.000
O+S+D,0.01,0.025,0.994,0.963,0.131
O+S+D,0.02,0.046,0.989,0.661,0.682
O+S+D,0.05,0.141,0.983,0.274,0.962
