Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.665,-1.281,0.874,0.002,0.000,0.998,--,0.998,--,0.998,--,0.998,ref
O+Q,0.985,1.182,1.490,0.002,0.080,0.999,0.152,0.998,0.248,0.998,0.497,0.998,1.691
S,0.837,1.375,1.416,0.002,0.000,0.998,--,0.998,--,0.998,--,0.998,0.640
O+S,0.801,0.613,1.256,0.002,0.165,0.998,--,0.998,--,0.998,--,0.998,0.613
O+Q+S,0.989,1.192,1.510,0.002,0.142,0.999,0.180,0.998,0.165,0.998,0.165,0.998,1.659
