Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.000,0.998,0.000,0.999
O,0.1,--,0.998,0.000,1.000
O,0.15,--,0.998,0.000,1.000
O,0.2,--,0.998,0.000,1.000
O+Q,0.05,0.080,0.999,0.429,0.990
O+Q,0.1,0.152,0.998,0.285,0.997
O+Q,0.15,0.248,0.998,0.142,0.999
O+Q,0.2,0.497,0.998,0.142,1.000
S,0.05,0.000,0.998,0.000,0.999
S,0.1,--,0.998,0.000,1.000
S,0.15,--,0.998,0.000,1.000
S,0.2,--,0.998,0.000,1.000
O+S,0.05,0.165,0.998,0.143,0.998
O+S,0.1,--,0.998,0.000,1.000
O+S,0.15,--,0.998,0.000,1.000
O+S,0.2,--,0.998,0.000,1.000
O+Q+S,0.05,0.142,0.999,0.714,0.991
O+Q+S,0.1,0.180,0.998,0.285,0.997
O+Q+S,0.15,0.165,0.998,0.142,0.998
O+Q+S,0.2,0.165,0.998,0.142,0.998
