Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.630,-0.491,0.913,0.034,0.036,--,0.036,--,0.038,0.989,0.059,0.975,ref
O+S,0.699,0.177,1.055,0.033,0.036,--,0.036,0.974,0.044,0.987,0.109,0.976,0.421
O+D,0.625,-0.088,0.983,0.034,0.036,--,0.036,1.000,0.039,0.986,0.067,0.971,0.048
O+S+D,0.697,0.562,1.144,0.033,0.036,--,0.036,1.000,0.045,0.984,0.127,0.975,0.438
