Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.036,--,1.000,0.000
O,0.01,0.036,--,1.000,0.000
O,0.02,0.038,0.989,0.973,0.086
O,0.05,0.059,0.975,0.501,0.705
O+S,0.005,0.036,--,1.000,0.000
O+S,0.01,0.036,0.974,0.996,0.006
O+S,0.02,0.044,0.987,0.892,0.292
O+S,0.05,0.109,0.976,0.415,0.875
O+D,0.005,0.036,--,1.000,0.000
O+D,0.01,0.036,1.000,1.000,0.001
O+D,0.02,0.039,0.986,0.941,0.148
O+D,0.05,0.067,0.971,0.343,0.822
O+S+D,0.005,0.036,--,1.000,0.000
O+S+D,0.01,0.036,1.000,1.000,0.003
O+S+D,0.02,0.045,0.984,0.855,0.325
O+S+D,0.05,0.127,0.975,0.366,0.907
