Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.582,3.346,1.632,0.008,--,0.992,--,0.992,--,0.992,--,0.992,ref
O+Q,0.607,2.551,1.476,0.008,--,0.992,--,0.992,--,0.992,--,0.992,0.165
S,0.559,1.706,1.302,0.008,--,0.992,--,0.992,--,0.992,--,0.992,-0.175
O+S,0.576,2.341,1.429,0.008,--,0.992,--,0.992,--,0.992,--,0.992,-0.205
O+Q+S,0.756,3.328,1.693,0.008,--,0.992,--,0.992,--,0.992,--,0.992,0.602
