Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.680,1.633,1.388,0.012,0.012,--,0.020,0.996,0.035,0.992,0.000,0.988,ref
O+Q,0.685,1.155,1.274,0.012,0.013,1.000,0.020,0.996,0.035,0.991,0.000,0.988,0.052
S,0.578,-1.833,0.578,0.012,0.013,1.000,0.015,0.991,0.016,0.988,0.000,0.988,-0.486
O+S,0.655,0.309,1.072,0.012,0.012,0.985,0.018,0.994,0.029,0.990,0.000,0.988,-0.190
O+Q+S,0.662,-0.128,0.967,0.012,0.013,0.996,0.018,0.993,0.034,0.991,0.000,0.988,0.121
