Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.012,--,1.000,0.000
O,0.01,0.020,0.996,0.814,0.520
O,0.02,0.035,0.992,0.428,0.856
O,0.05,0.000,0.988,0.000,0.999
O+Q,0.005,0.013,1.000,1.000,0.028
O+Q,0.01,0.020,0.996,0.837,0.490
O+Q,0.02,0.035,0.991,0.333,0.886
O+Q,0.05,0.000,0.988,0.000,0.997
S,0.005,0.013,1.000,1.000,0.030
S,0.01,0.015,0.991,0.669,0.441
S,0.02,0.016,0.988,0.118,0.910
S,0.05,0.000,0.988,0.000,0.996
O+S,0.005,0.012,0.985,0.969,0.025
O+S,0.01,0.018,0.994,0.753,0.508
O+S,0.02,0.029,0.990,0.269,0.891
O+S,0.05,0.000,0.988,0.000,0.997
O+Q+S,0.005,0.013,0.996,0.974,0.083
O+Q+S,0.01,0.018,0.993,0.675,0.539
O+Q+S,0.02,0.034,0.991,0.327,0.884
O+Q+S,0.05,0.000,0.988,0.000,0.995
