Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.034,--,1.000,0.000
O,0.01,0.034,--,1.000,0.000
O,0.02,0.044,0.987,0.867,0.342
O,0.05,0.102,0.973,0.272,0.917
O+Q,0.005,0.034,--,1.000,0.000
O+Q,0.01,0.034,1.000,1.000,0.014
O+Q,0.02,0.047,0.986,0.835,0.407
O+Q,0.05,0.091,0.972,0.249,0.914
S,0.005,0.034,--,1.000,0.000
S,0.01,0.034,--,1.000,0.000
S,0.02,0.035,0.987,0.980,0.054
S,0.05,0.085,0.967,0.052,0.980
O+S,0.005,0.034,--,1.000,0.000
O+S,0.01,0.034,--,1.000,0.000
O+S,0.02,0.041,0.985,0.877,0.288
O+S,0.05,0.105,0.970,0.159,0.953
O+Q+S,0.005,0.034,--,1.000,0.000
O+Q+S,0.01,0.034,1.000,1.000,0.025
O+Q+S,0.02,0.044,0.982,0.786,0.410
O+Q+S,0.05,0.086,0.971,0.225,0.917
