Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.730,0.094,1.016,0.051,0.118,0.971,0.202,0.961,0.269,0.958,0.359,0.953,ref
O+Q,0.801,0.050,0.995,0.045,0.158,0.976,0.276,0.970,0.366,0.963,0.475,0.961,0.611
S,0.742,0.248,1.074,0.051,0.134,0.972,0.197,0.961,0.266,0.954,0.301,0.950,-0.063
O+S,0.766,0.366,1.117,0.050,0.142,0.976,0.214,0.965,0.285,0.957,0.354,0.954,0.242
O+Q+S,0.798,0.078,1.013,0.044,0.164,0.976,0.280,0.970,0.370,0.964,0.463,0.961,0.579
