Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.010,0.989,0.588,0.382
O,0.01,0.007,0.989,0.034,0.949
O,0.02,--,0.989,0.000,1.000
O,0.05,--,0.989,0.000,1.000
O+Q,0.005,0.013,0.993,0.713,0.410
O+Q,0.01,0.014,0.990,0.095,0.927
O+Q,0.02,--,0.989,0.000,1.000
O+Q,0.05,--,0.989,0.000,1.000
S,0.005,0.019,0.996,0.767,0.576
S,0.01,0.034,0.994,0.512,0.848
S,0.02,0.037,0.990,0.127,0.965
S,0.05,0.000,0.989,0.000,1.000
O+S,0.005,0.020,0.996,0.767,0.596
O+S,0.01,0.033,0.994,0.480,0.851
O+S,0.02,0.051,0.991,0.188,0.963
O+S,0.05,0.000,0.989,0.000,1.000
O+Q+S,0.005,0.019,0.995,0.730,0.594
O+Q+S,0.01,0.036,0.994,0.536,0.847
O+Q+S,0.02,0.047,0.991,0.157,0.966
O+Q+S,0.05,0.177,0.990,0.034,0.998
