Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.014,0.994,0.986,0.033
O,0.01,0.014,0.986,0.500,0.512
O,0.02,0.013,0.986,0.011,0.989
O,0.05,--,0.986,0.000,1.000
O+S,0.005,0.014,0.988,0.996,0.005
O+S,0.01,0.019,0.990,0.616,0.546
O+S,0.02,0.015,0.986,0.037,0.967
O+S,0.05,1.000,0.986,0.004,1.000
O+D,0.005,0.019,0.995,0.887,0.344
O+D,0.01,0.031,0.993,0.657,0.704
O+D,0.02,0.051,0.990,0.365,0.904
O+D,0.05,0.154,0.987,0.065,0.995
O+S+D,0.005,0.019,0.996,0.894,0.340
O+S+D,0.01,0.031,0.993,0.681,0.698
O+S+D,0.02,0.054,0.990,0.394,0.901
O+S+D,0.05,0.101,0.987,0.064,0.992
