Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.487,-3.078,0.254,0.014,0.014,0.994,0.014,0.986,0.013,0.986,--,0.986,ref
O+S,0.577,0.068,0.951,0.014,0.014,0.988,0.019,0.990,0.015,0.986,1.000,0.986,0.232
O+D,0.700,0.980,1.135,0.014,0.019,0.995,0.031,0.993,0.051,0.990,0.154,0.987,0.775
O+S+D,0.717,1.035,1.154,0.014,0.019,0.996,0.031,0.993,0.054,0.990,0.101,0.987,0.773
