Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.033,--,1.000,0.000
O,0.01,0.033,1.000,1.000,0.000
O,0.02,0.043,0.984,0.825,0.365
O,0.05,0.081,0.971,0.219,0.914
O+Q,0.005,0.033,--,1.000,0.000
O+Q,0.01,0.034,0.992,0.989,0.047
O+Q,0.02,0.046,0.984,0.801,0.430
O+Q,0.05,0.103,0.974,0.306,0.909
S,0.005,0.033,--,1.000,0.000
S,0.01,0.033,--,1.000,0.000
S,0.02,0.034,0.974,0.899,0.128
S,0.05,0.085,0.969,0.120,0.955
O+S,0.005,0.033,--,1.000,0.000
O+S,0.01,0.033,--,1.000,0.000
O+S,0.02,0.042,0.984,0.842,0.339
O+S,0.05,0.072,0.970,0.186,0.918
O+Q+S,0.005,0.033,--,1.000,0.000
O+Q+S,0.01,0.034,1.000,1.000,0.014
O+Q+S,0.02,0.045,0.985,0.830,0.387
O+Q+S,0.05,0.077,0.972,0.233,0.904
