Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.643,0.054,0.967,0.032,0.033,--,0.033,1.000,0.043,0.984,0.081,0.971,ref
O+Q,0.685,0.517,1.097,0.032,0.033,--,0.034,0.992,0.046,0.984,0.103,0.974,0.234
S,0.550,-0.646,0.771,0.032,0.033,--,0.033,--,0.034,0.974,0.085,0.969,-0.448
O+S,0.619,-0.019,0.946,0.032,0.033,--,0.033,--,0.042,0.984,0.072,0.970,-0.245
O+Q+S,0.658,0.245,1.023,0.032,0.033,--,0.034,1.000,0.045,0.985,0.077,0.972,0.161
